date,max,average,min,precipitation,rain,city
9/3/15,73,67.9,61,0.00,0,0
9/4/15,73,67.3,61,0.00,0,0
9/5/15,70,66,61,0.00,0,0
9/6/15,73,68,59,0.00,0,0
9/7/15,75,69.5,64,0.00,0,0
9/8/15,73,68.4,63,0.00,0,0
9/9/15,77,71.3,64,0.00,0,0
9/10/15,77,70.7,63,0.00,0,0
9/11/15,73,69.6,63,0.00,0,0
9/12/15,75,70.5,66,0.00,0,0
9/13/15,70,65.8,59,0.33,1,0
9/14/15,73,69.1,64,0.00,0,0
9/15/15,72,65.9,59,0.90,1,0
9/16/15,72,67.4,63,2.71,1,0
9/17/15,72,65.4,55,0.05,1,0
9/18/15,79,70.7,64,0.00,0,0
9/19/15,84,74.2,63,0.00,0,0
9/20/15,81,75,70,0.00,0,0
9/21/15,77,72.7,68,0.00,0,0
9/22/15,81,71.7,64,0.00,0,0
9/23/15,75,67.3,59,0.00,0,0
9/24/15,75,67.9,63,0.00,0,0
9/25/15,73,68.5,64,0.00,0,0
9/26/15,75,68.7,64,0.00,0,0
9/27/15,81,71.4,63,0.00,0,0
9/28/15,79,72.6,66,0.00,0,0
9/29/15,77,71.6,68,0.09,1,0
9/30/15,75,68.8,63,0.00,0,0
10/1/15,75,69.4,59,0.00,0,0
10/2/15,77,70.9,64,0.00,0,0
10/3/15,73,69,64,0.00,0,0
10/4/15,75,71.9,68,2.91,1,0
10/5/15,73,71.2,68,13.37,1,0
10/6/15,73,69.1,66,0.27,1,0
10/7/15,73,66,59,0.00,0,0
10/8/15,72,64.9,57,0.00,0,0
10/9/15,72,65,59,0.00,0,0
10/10/15,68,65.3,64,5.85,1,0
10/11/15,70,66.9,64,0.64,1,0
10/12/15,72,67.5,66,7.46,1,0
10/13/15,72,67.1,64,1.67,1,0
10/14/15,72,66.4,63,0.00,0,0
10/15/15,72,66.5,61,0.00,0,0
10/16/15,72,66.3,59,0.00,0,0
10/17/15,75,69.6,66,8.00,1,0
10/18/15,72,66.1,63,8.05,1,0
10/19/15,73,67.4,64,0.36,1,0
10/20/15,70,66.9,64,8.47,1,0
10/21/15,73,68.4,64,0.00,0,0
10/22/15,73,66.8,61,0.00,0,0
10/23/15,70,65.5,61,0.00,0,0
10/24/15,72,66.2,64,0.82,1,0
10/25/15,72,67.9,64,2.61,1,0
10/26/15,72,68.5,64,17.73,1,0
10/27/15,68,63.3,57,1.02,1,0
10/28/15,70,64.1,59,0.78,1,0
10/29/15,70,63.4,57,0.21,1,0
10/30/15,72,64.5,57,0.13,1,0
